"","site_code","species","LAT_geogr","LON_geogr","grate20","ddif","tea","ph","Pmeh","Ptot","N","Mg","K","Ca","C","CN","NPtot","NPmeh","PC1","PC2","PC3","twi","cwb"
"83","P000235PCAB","PCAB",50.7725010414,15.5607114608,-1.33535094068957,-0.341184885810409,-0.189704826896197,0.437062785999182,-0.223838433913817,0.204918914372291,0.122702659837796,-0.64268135660418,-0.139704965320059,-0.446931848795352,-0.550646532733747,-1.09176816183933,-0.214719937670488,-0.0227066910996232,0.0994425350460711,0.492118510728435,-1.00729213535672,0.48487007776226,1.73694825224168
"84","P000236PCAB","PCAB",50.0806841563,17.2253348532,-1.31129255133326,-0.0695559780058335,0.488479628232204,0.141732560062719,0.0153870724054168,0.216080347169537,1.34153198216416,-0.674918873816317,-1.41283552552147,-0.617298933646553,1.05928255253175,-0.318275503658865,0.587640910266173,0.13765912464149,-1.82475669388267,0.910380093473129,0.500138129695871,-0.54551707428279,0.416313582667393
"85","P000237PCAB","PCAB",50.0678693369,17.2449787567,-0.828582499631897,-0.0344912230873944,0.200418945048076,0.206571570833281,0.0215530705123056,0.163962503049309,1.26903251782165,0.957817342830874,-1.40247527456196,-0.446226851934981,1.19208969641436,-0.0352972309660245,0.591321909944223,0.108641327439794,-1.24630059768592,0.517489280154645,1.21776060114451,0.237367140414899,0.275574518935508
"86","P000238PCAB","PCAB",50.7576782395,15.6603062301,-0.486119601770907,0.243163942490244,-0.422413841671484,0.599293122959506,-0.399197941836692,-0.107476347136854,0.707343382454923,-0.0194438522038359,-0.310174727329889,-0.302394732477488,-0.204586598157029,-1.33531302545487,0.482599896833207,0.379550154645309,-0.293197695722161,0.114517345182076,-0.333570902276221,-0.851343026368775,1.20825259313544
"87","P000239PCAB","PCAB",50.0719946448,17.2313643382,-0.404691415031951,0.529447752295711,-0.120934801885641,0.456115638219324,-0.0106188020695135,0.231712645355562,1.25525871959893,0.334713424124414,-1.52916926000587,-0.510285647237697,0.96847448212372,-0.33399352697362,0.514736715107686,0.136144878323251,-1.17188709572304,0.593208823915739,0.78988576489717,0.172874226363028,0.323659304524692
"88","P000240PCAB","PCAB",50.7481717598,15.5255518209,-0.742647649957893,0.300280414776953,-0.0804441668108562,0.316680889121088,-0.87092371985845,0.00218503290368788,0.0150602198280768,-0.629810826024192,0.0882924003390475,-0.62169451374657,-0.808318610549057,-1.35741412832814,-0.104972376073546,0.772280472581573,-0.326924791911769,0.0391865326625929,-1.65426412638597,-0.760499034134371,1.2610420819823
"89","P000241PCAB","PCAB",50.7167067567,15.6700348986,-0.812980048170289,-0.00999897246679155,-0.121397689372828,0.85781251014817,-0.316431608582775,-0.207590228577206,0.672135282012767,2.27865677322972,1.18383605854987,-0.358090679958457,-0.48926595227388,-1.71886419001485,0.562410948549599,0.268581080755307,0.894882850501993,0.0806236736490453,0.309045438179304,-0.64439165579755,1.02012747956599
"90","P000242PCAB","PCAB",50.0798029138,17.2230389105,-1.19704847637993,-0.179150402388637,0.488479628232204,0.141732560062719,0.0153870724054168,0.216080347169537,1.34153198216416,-0.674918873816317,-1.41283552552147,-0.617298933646553,1.05928255253175,-0.318275503658865,0.587640910266173,0.13765912464149,-1.82475669388267,0.910380093473129,0.500138129695871,-0.219158538654942,0.416313582667393
"91","P000243PCAB","PCAB",50.0715196273,17.2321473088,-1.17664376997227,-0.293541505740255,-0.120934801885641,0.456115638219324,-0.0106188020695135,0.231712645355562,1.25525871959893,0.334713424124414,-1.52916926000587,-0.510285647237697,0.96847448212372,-0.33399352697362,0.514736715107686,0.136144878323251,-1.17188709572304,0.593208823915739,0.78988576489717,-0.963749688801587,0.323659304524692
"92","P000244PCAB","PCAB",50.0556446288,17.2217931373,-0.723846036818034,0.128823299818806,0.0317591899018102,0.103482138991893,0.608599997685246,0.576585131450647,0.971068463279667,0.376150505634233,-0.762852256876968,-0.694895553372225,0.326030222006162,-0.888891830961178,0.0121420305801542,-0.458477017561432,-0.277798664364196,1.3997919883546,0.424842002125361,-0.444840562619734,0.0769734460800988
